question_idx,question,gold_answer,predicted_answer,em,f1,qa_confidence,top_passage_id,n_gold_passages,hit@1,passage_recall@1,hit@3,passage_recall@3,hit@5,passage_recall@5,hit@10,passage_recall@10,hit@20,passage_recall@20
0,"If my future wife has the same first name as the 15th first lady of the United States' mother and her surname is the same as the second assassinated president's mother's maiden name, what is my future wife's name? ",Jane Ballou,,0.0,0.0,0.8007831871509552,19040,394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Imagine there is a building called Bronte tower whose height in feet is the same number as the dewey decimal classification for the Charlotte Bronte book that was published in 1847. Where would this building rank among tallest buildings in New York City, as of August 2024?",37th,,0.0,0.0,0.9635666310787201,77326,173,1.0,0.005780346820809248,1.0,0.011560693641618497,1.0,0.011560693641618497,1.0,0.03468208092485549,1.0,0.057803468208092484
2,How many years earlier would Punxsutawney Phil have to be canonically alive to have made a Groundhog Day prediction in the same state as the US capitol?,87,,0.0,0.0,0.7876032590866089,35662,92,1.0,0.010869565217391304,1.0,0.03260869565217391,1.0,0.05434782608695652,1.0,0.10869565217391304,1.0,0.13043478260869565
3,"As of August 1, 2024, which country were holders of the FIFA World Cup the last time the UEFA Champions League was won by a club from London?",France,,0.0,0.0,0.9702549874782562,35668,207,0.0,0.0,0.0,0.0,1.0,0.004830917874396135,1.0,0.004830917874396135,1.0,0.014492753623188406
4,What is the name of the vocalist from the first band to make it in the top 200 under the record label that produced the third studio album for Dismal Euphony?,Jens Kidman,,0.0,0.0,0.4237050712108612,67778,61,1.0,0.01639344262295082,1.0,0.03278688524590164,1.0,0.03278688524590164,1.0,0.04918032786885246,1.0,0.04918032786885246
5,"According to the 2000 United States census, what was the 2000 population of the birth city of the only 21st-century mayor of Austin, Texas who also served as mayor in the 1990s? Round your answer to the nearest thousand.",506000,,0.0,0.0,0.9894416630268097,29680,133,1.0,0.007518796992481203,1.0,0.015037593984962405,1.0,0.022556390977443608,1.0,0.03759398496240601,1.0,0.06015037593984962
6,I have an element in mind and would like you to identify the person it was named after. Here's a clue: The element's atomic number is 9 higher than that of an element discovered by the scientist who discovered Zirconium in the same year.,Mendelevium is named after Dmitri Mendeleev.,,0.0,0.0,0.9737161993980408,75560,315,1.0,0.0031746031746031746,1.0,0.0031746031746031746,1.0,0.009523809523809525,1.0,0.022222222222222223,1.0,0.044444444444444446
7,"As of Aug 3, 2024, the artist who released the album ""Father of Asahd"" went to the same high school as an Olympic diver. How many Olympic teams did this diver participate on?",2,,0.0,0.0,0.9774234890937805,89183,63,1.0,0.015873015873015872,1.0,0.015873015873015872,1.0,0.015873015873015872,1.0,0.047619047619047616,1.0,0.06349206349206349
8,A general motors vehicle is named after the largest ward in the country of Monaco.  How many people had walked on the moon as of the first model year of the vehicle? Note: the model year is not the same as the year the model was first produced.,4,,0.0,0.0,0.9242991209030151,71064,431,1.0,0.002320185614849188,1.0,0.004640371229698376,1.0,0.009280742459396751,1.0,0.013921113689095127,1.0,0.02088167053364269
9,"The Pope born Pietro Barbo ended a long-running war two years after his papacy began, which famous conflict, immortalized in tapestry took place 400 years earlier?",The Battle of Hastings.,,0.0,0.0,0.9740338921546936,43891,192,1.0,0.005208333333333333,1.0,0.015625,1.0,0.015625,1.0,0.020833333333333332,1.0,0.020833333333333332
